experiment,method,notes,cfg.seq_len,cfg.depth,cfg.K,cfg.n_sink,cfg.n_local,cfg.bits,cfg.n_trials,m.accuracy,m.n_correct,m.n_trials,m.throughput_tps
passkey_retrieval,baseline,,4096,0.1,1024,128,512,,5,1.0,5,5,51.6579816400356
passkey_retrieval,baseline,,4096,0.3,1024,128,512,,5,1.0,5,5,49.27241707224226
passkey_retrieval,baseline,,4096,0.5,1024,128,512,,5,1.0,5,5,48.67565934729481
passkey_retrieval,baseline,,4096,0.7,1024,128,512,,5,1.0,5,5,47.85728648871938
passkey_retrieval,baseline,,4096,0.9,1024,128,512,,5,1.0,5,5,48.4329613570015
passkey_retrieval,kivi,,4096,0.1,1024,128,512,4,5,1.0,5,5,4.327068401734648
passkey_retrieval,kivi,,4096,0.3,1024,128,512,4,5,1.0,5,5,4.291983256593985
passkey_retrieval,kivi,,4096,0.5,1024,128,512,4,5,1.0,5,5,4.361109226347805
passkey_retrieval,kivi,,4096,0.7,1024,128,512,4,5,1.0,5,5,4.315529641580137
passkey_retrieval,kivi,,4096,0.9,1024,128,512,4,5,1.0,5,5,4.21794296125655
passkey_retrieval,topk,,4096,0.1,1024,128,512,,5,0.0,0,5,27.770761631959353
passkey_retrieval,topk,,4096,0.3,1024,128,512,,5,0.8,4,5,32.914416157487615
passkey_retrieval,topk,,4096,0.5,1024,128,512,,5,1.0,5,5,33.01806642513314
passkey_retrieval,topk,,4096,0.7,1024,128,512,,5,0.0,0,5,30.866180819991445
passkey_retrieval,topk,,4096,0.9,1024,128,512,,5,0.6,3,5,32.00002201350129
passkey_retrieval,kivi_topk,,4096,0.1,1024,128,512,4,5,1.0,5,5,3.4420898280608023
passkey_retrieval,kivi_topk,,4096,0.3,1024,128,512,4,5,0.0,0,5,3.3386216435078753
passkey_retrieval,kivi_topk,,4096,0.5,1024,128,512,4,5,0.0,0,5,3.3417055741433237
passkey_retrieval,kivi_topk,,4096,0.7,1024,128,512,4,5,0.0,0,5,3.388268726911614
passkey_retrieval,kivi_topk,,4096,0.9,1024,128,512,4,5,1.0,5,5,3.4112758091639663
passkey_retrieval,kivi_topk_c,,4096,0.1,1024,128,512,4,5,1.0,5,5,3.3868073601893562
passkey_retrieval,kivi_topk_c,,4096,0.3,1024,128,512,4,5,0.0,0,5,3.352646433541378
passkey_retrieval,kivi_topk_c,,4096,0.5,1024,128,512,4,5,0.0,0,5,3.304063276254839
passkey_retrieval,kivi_topk_c,,4096,0.7,1024,128,512,4,5,0.0,0,5,3.3465772098605306
passkey_retrieval,kivi_topk_c,,4096,0.9,1024,128,512,4,5,1.0,5,5,3.3730677549152057
