method,config,prompt_type,task,seq_len,peak_memory_gb,kv_cache_mb,compression_ratio,ttft_ms,throughput_tps,per_token_latency_ms,perplexity,task_score,longbench_score,tokens_generated,timestamp
baseline,{},synthetic,n/a,525,15.4411,380.1088,1.0,767.96,33.5,29.85,,,,200,2026-04-05T04:53:37.345428Z
baseline,{},synthetic,n/a,525,16.7357,380.1088,1.0,56.43,37.05,26.99,,,,200,2026-04-05T04:53:42.808288Z
baseline,{},synthetic,n/a,525,16.7298,380.1088,1.0,56.03,37.89,26.39,,,,200,2026-04-05T04:53:48.149788Z
baseline,{},synthetic,n/a,525,16.7298,380.1088,1.0,55.8,38.26,26.13,,,,200,2026-04-05T04:53:53.440114Z
baseline,{},synthetic,n/a,2061,27.5303,1185.4152,1.0,369.5,37.76,26.49,,,,200,2026-04-05T04:53:59.119258Z
baseline,{},synthetic,n/a,2061,27.5092,1185.4152,1.0,363.55,34.43,29.05,,,,200,2026-04-05T04:54:05.304058Z
baseline,{},synthetic,n/a,2061,27.5092,1185.4152,1.0,363.86,37.78,26.47,,,,200,2026-04-05T04:54:10.973418Z
baseline,{},synthetic,n/a,2061,27.5092,1185.4152,1.0,363.63,37.41,26.73,,,,200,2026-04-05T04:54:16.694359Z
kivi,"{""bits"": 2, ""residual_length"": 128}",synthetic,n/a,525,16.1053,226.5784,1.6776,1148.56,15.19,65.85,,,,200,2026-04-05T04:55:00.647451Z
kivi,"{""bits"": 2, ""residual_length"": 128}",synthetic,n/a,525,16.0885,226.5784,1.6776,67.55,16.12,62.05,,,,200,2026-04-05T04:55:13.380516Z
kivi,"{""bits"": 2, ""residual_length"": 128}",synthetic,n/a,525,16.0923,226.5784,1.6776,68.89,16.07,62.22,,,,200,2026-04-05T04:55:25.907631Z
kivi,"{""bits"": 2, ""residual_length"": 128}",synthetic,n/a,525,16.0923,226.5784,1.6776,67.21,16.3,61.35,,,,200,2026-04-05T04:55:38.259458Z
kivi,"{""bits"": 2, ""residual_length"": 128}",synthetic,n/a,2061,28.8906,635.5231,1.8653,405.53,11.44,87.42,,,,200,2026-04-05T04:55:56.167653Z
kivi,"{""bits"": 2, ""residual_length"": 128}",synthetic,n/a,2061,28.9099,635.5231,1.8653,396.69,11.55,86.55,,,,200,2026-04-05T04:56:13.893508Z
kivi,"{""bits"": 2, ""residual_length"": 128}",synthetic,n/a,2061,28.9099,635.5231,1.8653,396.69,11.46,87.24,,,,200,2026-04-05T04:56:31.755709Z
kivi,"{""bits"": 2, ""residual_length"": 128}",synthetic,n/a,2061,28.9099,635.5231,1.8653,397.13,11.51,86.86,,,,200,2026-04-05T04:56:49.546248Z
baseline,{},wikitext,n/a,0,0,0,1.0,0,0,0,8.2734,,,0,2026-04-05T04:57:13.120882Z
