experiment,method,notes,cfg.seq_len,cfg.depth,cfg.K,cfg.n_sink,cfg.n_local,cfg.bits,cfg.n_trials,m.accuracy,m.n_correct,m.n_trials,m.throughput_tps
passkey_retrieval,kivi,,4096,0.1,1024,128,512,4,5,1.0,5,5,5.606900533253011
passkey_retrieval,kivi,,4096,0.3,1024,128,512,4,5,1.0,5,5,5.643810381160046
passkey_retrieval,kivi,,4096,0.5,1024,128,512,4,5,1.0,5,5,5.712872424280224
passkey_retrieval,kivi,,4096,0.7,1024,128,512,4,5,1.0,5,5,5.67238247584374
passkey_retrieval,kivi,,4096,0.9,1024,128,512,4,5,1.0,5,5,5.707902316453397
passkey_retrieval,kivi_topk,,4096,0.1,1024,128,512,4,5,1.0,5,5,4.548289913923248
passkey_retrieval,kivi_topk,,4096,0.3,1024,128,512,4,5,0.0,0,5,4.647162197574724
passkey_retrieval,kivi_topk,,4096,0.5,1024,128,512,4,5,0.0,0,5,4.607480340049814
passkey_retrieval,kivi_topk,,4096,0.7,1024,128,512,4,5,0.0,0,5,4.611890855175195
passkey_retrieval,kivi_topk,,4096,0.9,1024,128,512,4,5,1.0,5,5,4.602327061829433
passkey_retrieval,kivi_topk_maxpool,,4096,0.1,1024,128,512,4,5,1.0,5,5,4.618573299009605
passkey_retrieval,kivi_topk_maxpool,,4096,0.3,1024,128,512,4,5,0.0,0,5,4.638485048209844
passkey_retrieval,kivi_topk_maxpool,,4096,0.5,1024,128,512,4,5,0.0,0,5,4.606286782259664
passkey_retrieval,kivi_topk_maxpool,,4096,0.7,1024,128,512,4,5,0.0,0,5,4.643135294415084
passkey_retrieval,kivi_topk_maxpool,,4096,0.9,1024,128,512,4,5,1.0,5,5,4.683073473815085
passkey_retrieval,kivi_topk_twopass,,4096,0.1,1024,128,512,4,5,1.0,5,5,4.241722724358437
passkey_retrieval,kivi_topk_twopass,,4096,0.3,1024,128,512,4,5,0.0,0,5,4.298837622244365
passkey_retrieval,kivi_topk_twopass,,4096,0.5,1024,128,512,4,5,0.0,0,5,4.261578517193784
passkey_retrieval,kivi_topk_twopass,,4096,0.7,1024,128,512,4,5,0.0,0,5,4.267548204133521
passkey_retrieval,kivi_topk_twopass,,4096,0.9,1024,128,512,4,5,1.0,5,5,4.282011551775112
passkey_retrieval,kivi_topk_multiq,,4096,0.1,1024,128,512,4,5,1.0,5,5,4.61987906627639
passkey_retrieval,kivi_topk_multiq,,4096,0.3,1024,128,512,4,5,0.0,0,5,4.620274960473456
passkey_retrieval,kivi_topk_multiq,,4096,0.5,1024,128,512,4,5,0.0,0,5,4.594131611865302
passkey_retrieval,kivi_topk_multiq,,4096,0.7,1024,128,512,4,5,0.0,0,5,4.619252658041224
passkey_retrieval,kivi_topk_multiq,,4096,0.9,1024,128,512,4,5,1.0,5,5,4.594680337323288
passkey_retrieval,kivi_topk_dynsink,,4096,0.1,1024,128,512,4,5,1.0,5,5,4.630699441168906
passkey_retrieval,kivi_topk_dynsink,,4096,0.3,1024,128,512,4,5,0.0,0,5,4.63765498020568
passkey_retrieval,kivi_topk_dynsink,,4096,0.5,1024,128,512,4,5,0.0,0,5,4.628095033028087
passkey_retrieval,kivi_topk_dynsink,,4096,0.7,1024,128,512,4,5,0.0,0,5,4.587118996174622
passkey_retrieval,kivi_topk_dynsink,,4096,0.9,1024,128,512,4,5,1.0,5,5,4.575953233341416
passkey_retrieval,kivi_topk_all,,4096,0.1,1024,128,512,4,5,1.0,5,5,4.301633960786127
passkey_retrieval,kivi_topk_all,,4096,0.3,1024,128,512,4,5,0.0,0,5,4.271313954223197
passkey_retrieval,kivi_topk_all,,4096,0.5,1024,128,512,4,5,0.0,0,5,4.300792760522965
passkey_retrieval,kivi_topk_all,,4096,0.7,1024,128,512,4,5,0.0,0,5,4.34499297309438
passkey_retrieval,kivi_topk_all,,4096,0.9,1024,128,512,4,5,1.0,5,5,4.237797166587879
